Variant,Fill_Factor,Set_MOPS,Get_MOPS
DOUBLE,10,1866.482,5357.709
DOUBLE,20,1791.675,5610.9
DOUBLE,30,1865.961,5367.98
DOUBLE,40,1804.85,5113.819
DOUBLE,50,1742.957,5036.853
DOUBLE,60,1689.986,5004.81
DOUBLE,70,1679.836,4641.237
DOUBLE,80,1491.542,4052.16
DOUBLE,90,1318.616,3492.732
L1,10,2054.945,3536.433
L1,20,2040.383,3505.517
L1,30,2033.436,3488.662
L1,40,2017.499,3483.475
L1,50,1993.101,3418.248
L1,60,1953.315,3346.799
L1,70,1893.144,3204.191
L1,80,1781.946,2912.164
L1,90,1589.062,2484.069
L2,10,2055.479,5183.53
L2,20,2040.338,5363.712
L2,30,2032.289,5409.11
L2,40,2017.557,4869.239
L2,50,1992.903,5218.238
L2,60,1952.741,4911.735
L2,70,1893.338,4581.828
L2,80,1781.489,3993.933
L2,90,1590.561,3386.853
L3,10,2054.734,5324.786
L3,20,2041.356,5052.867
L3,30,2033.934,5250.664
L3,40,2018.639,5332.325
L3,50,1993.143,5262.487
L3,60,1953.218,4916.595
L3,70,1892.637,4598.076
L3,80,1782.89,3959.41
L3,90,1589.921,3362.913
NTA,10,2056.528,3692.472
NTA,20,2039.975,3583.264
NTA,30,2033.915,3497.209
NTA,40,2017.787,3476.425
NTA,50,1991.843,3443.494
NTA,60,1953.949,3354.358
NTA,70,1895.892,3207.265
NTA,80,1782.625,2936.463
NTA,90,1590.889,2475.532
