
START dramblast {

START Insert TEST {
#           time             counts unit events
     1.001429257        995,349,207      umc_cas_cmd.all                  #  63702.3 MB/s  umc_mem_bandwidth   
     1.001429257      1,001,429,257 ns   duration_time                                                         
     2.002449301      3,485,747,301      umc_cas_cmd.all                  # 223087.8 MB/s  umc_mem_bandwidth   
     2.002449301      1,001,020,044 ns   duration_time                                                         
     3.006423340      3,524,096,577      umc_cas_cmd.all                  # 225542.2 MB/s  umc_mem_bandwidth   
     3.006423340      1,003,974,039 ns   duration_time                                                         
     4.007438265      3,516,369,353      umc_cas_cmd.all                  # 225047.6 MB/s  umc_mem_bandwidth   
     4.007438265      1,001,014,925 ns   duration_time                                                         
     5.008441349      3,541,744,622      umc_cas_cmd.all                  # 226671.7 MB/s  umc_mem_bandwidth   
     5.008441349      1,001,003,084 ns   duration_time                                                         
     6.009442373      3,530,390,018      umc_cas_cmd.all                  # 225945.0 MB/s  umc_mem_bandwidth   
     6.009442373      1,001,001,024 ns   duration_time                                                         
     7.011852594      3,532,730,211      umc_cas_cmd.all                  # 226094.7 MB/s  umc_mem_bandwidth   
     7.011852594      1,002,410,221 ns   duration_time                                                         
     8.013446732      3,486,459,557      umc_cas_cmd.all                  # 223133.4 MB/s  umc_mem_bandwidth   
     8.013446732      1,001,594,138 ns   duration_time                                                         
     9.017444161      3,529,314,344      umc_cas_cmd.all                  # 225876.1 MB/s  umc_mem_bandwidth   
     9.017444161      1,003,997,429 ns   duration_time                                                         
    10.023450220      3,494,669,290      umc_cas_cmd.all                  # 223658.8 MB/s  umc_mem_bandwidth   
    10.023450220      1,006,006,059 ns   duration_time                                                         
    11.024438715      3,514,141,670      umc_cas_cmd.all                  # 224905.1 MB/s  umc_mem_bandwidth   
    11.024438715      1,000,988,495 ns   duration_time                                                         
    12.025441079      3,495,824,997      umc_cas_cmd.all                  # 223732.8 MB/s  umc_mem_bandwidth   
    12.025441079      1,001,002,364 ns   duration_time                                                         
    13.026442443      3,470,812,398      umc_cas_cmd.all                  # 222132.0 MB/s  umc_mem_bandwidth   
    13.026442443      1,001,001,364 ns   duration_time                                                         
    14.027445327      3,468,438,491      umc_cas_cmd.all                  # 221980.1 MB/s  umc_mem_bandwidth   
    14.027445327      1,001,002,884 ns   duration_time                                                         
    15.028445632      3,480,612,621      umc_cas_cmd.all                  # 222759.2 MB/s  umc_mem_bandwidth   
    15.028445632      1,001,000,305 ns   duration_time                                                         
    16.034431541      3,507,615,961      umc_cas_cmd.all                  # 224487.4 MB/s  umc_mem_bandwidth   
    16.034431541      1,005,985,909 ns   duration_time                                                         
    17.035444405      3,507,104,382      umc_cas_cmd.all                  # 224454.7 MB/s  umc_mem_bandwidth   
    17.035444405      1,001,012,864 ns   duration_time                                                         
    18.036435849      3,524,831,900      umc_cas_cmd.all                  # 225589.2 MB/s  umc_mem_bandwidth   
    18.036435849      1,000,991,444 ns   duration_time                                                         
    19.037450394      3,471,018,445      umc_cas_cmd.all                  # 222145.2 MB/s  umc_mem_bandwidth   
    19.037450394      1,001,014,545 ns   duration_time                                                         
    20.038446218      3,487,692,001      umc_cas_cmd.all                  # 223212.3 MB/s  umc_mem_bandwidth   
    20.038446218      1,000,995,824 ns   duration_time                                                         
    21.040013515      3,506,607,859      umc_cas_cmd.all                  # 224422.9 MB/s  umc_mem_bandwidth   
    21.040013515      1,001,567,297 ns   duration_time                                                         
    22.044451177      3,508,863,101      umc_cas_cmd.all                  # 224567.2 MB/s  umc_mem_bandwidth   
    22.044451177      1,004,437,662 ns   duration_time                                                         
    23.046011994      3,477,913,109      umc_cas_cmd.all                  # 222586.4 MB/s  umc_mem_bandwidth   
    23.046011994      1,001,560,817 ns   duration_time                                                         
    24.047474880      3,462,014,920      umc_cas_cmd.all                  # 221569.0 MB/s  umc_mem_bandwidth   
    24.047474880      1,001,462,886 ns   duration_time                                                         
    25.049442309      3,464,414,616      umc_cas_cmd.all                  # 221722.5 MB/s  umc_mem_bandwidth   
    25.049442309      1,001,967,429 ns   duration_time                                                         
    26.052434694      3,490,406,651      umc_cas_cmd.all                  # 223386.0 MB/s  umc_mem_bandwidth   
    26.052434694      1,002,992,385 ns   duration_time                                                         
#           time             counts unit events
    27.053985980      3,475,779,344      umc_cas_cmd.all                  # 222449.9 MB/s  umc_mem_bandwidth   
    27.053985980      1,001,551,286 ns   duration_time                                                         
    28.059418547      3,482,230,293      umc_cas_cmd.all                  # 222862.7 MB/s  umc_mem_bandwidth   
    28.059418547      1,005,432,567 ns   duration_time                                                         
    29.060970023      3,489,547,644      umc_cas_cmd.all                  # 223331.0 MB/s  umc_mem_bandwidth   
    29.060970023      1,001,551,476 ns   duration_time                                                         
    30.062447102      3,498,505,841      umc_cas_cmd.all                  # 223904.4 MB/s  umc_mem_bandwidth   
    30.062447102      1,001,477,079 ns   duration_time                                                         
    31.063982560      3,483,279,164      umc_cas_cmd.all                  # 222929.9 MB/s  umc_mem_bandwidth   
    31.063982560      1,001,535,458 ns   duration_time                                                         
    32.065995301      3,472,639,446      umc_cas_cmd.all                  # 222248.9 MB/s  umc_mem_bandwidth   
    32.065995301      1,002,012,741 ns   duration_time                                                         
    33.070446454      3,470,769,310      umc_cas_cmd.all                  # 222129.2 MB/s  umc_mem_bandwidth   
    33.070446454      1,004,451,153 ns   duration_time                                                         
    34.071979473      3,457,722,330      umc_cas_cmd.all                  # 221294.2 MB/s  umc_mem_bandwidth   
    34.071979473      1,001,533,019 ns   duration_time                                                         
    35.073425231      3,492,267,205      umc_cas_cmd.all                  # 223505.1 MB/s  umc_mem_bandwidth   
    35.073425231      1,001,445,758 ns   duration_time                                                         
    36.079436492      3,505,551,505      umc_cas_cmd.all                  # 224355.3 MB/s  umc_mem_bandwidth   
    36.079436492      1,006,011,261 ns   duration_time                                                         
    37.080981780      3,444,890,411      umc_cas_cmd.all                  # 220473.0 MB/s  umc_mem_bandwidth   
    37.080981780      1,001,545,288 ns   duration_time                                                         
    38.082438438      3,478,498,066      umc_cas_cmd.all                  # 222623.9 MB/s  umc_mem_bandwidth   
    38.082438438      1,001,456,658 ns   duration_time                                                         
    39.083970527      3,461,412,872      umc_cas_cmd.all                  # 221530.4 MB/s  umc_mem_bandwidth   
    39.083970527      1,001,532,089 ns   duration_time                                                         
    40.085430575      3,466,643,739      umc_cas_cmd.all                  # 221865.2 MB/s  umc_mem_bandwidth   
    40.085430575      1,001,460,048 ns   duration_time                                                         
    41.090438181      3,485,453,361      umc_cas_cmd.all                  # 223069.0 MB/s  umc_mem_bandwidth   
    41.090438181      1,005,007,606 ns   duration_time                                                         
    42.091962479      3,468,581,827      umc_cas_cmd.all                  # 221989.2 MB/s  umc_mem_bandwidth   
    42.091962479      1,001,524,298 ns   duration_time                                                         
    43.093430508      3,457,282,911      umc_cas_cmd.all                  # 221266.1 MB/s  umc_mem_bandwidth   
