Variant,Fill_Level,Set_MOPS,Get_MOPS,Total_BW_GBs,MLC_Baseline_GBs
dramblast,10,1604.391,3972.747,238.83,250.85
dramblast,20,1587.653,3868.189,238.83,250.85
dramblast,30,1578.743,3852.6,238.83,250.85
dramblast,40,1568.98,3841.93,238.83,250.85
dramblast,50,1552.293,3704.651,238.83,250.85
dramblast,60,1532.262,3589.582,238.83,250.85
dramblast,70,1496.878,3395.105,238.83,250.85
dramblast,80,1427.207,3035.592,238.83,250.85
dramblast,90,1307.592,2516.929,238.83,250.85
dramhit23,10,1455.311,3310.315,167.79,250.85
dramhit23,20,1430.399,3112.36,167.79,250.85
dramhit23,30,1412.7,2912.458,167.79,250.85
dramhit23,40,1390.801,2667.907,167.79,250.85
dramhit23,50,1361.618,2405.762,167.79,250.85
dramhit23,60,1318.307,2155.656,167.79,250.85
dramhit23,70,1255.979,1941.793,167.79,250.85
dramhit23,80,1162.135,1712.94,167.79,250.85
dramhit23,90,968.446,1345.793,167.79,250.85
folklore,10,1128.933,1860.189,134.86,250.85
folklore,20,1104.27,1804.635,134.86,250.85
folklore,30,1081.277,1740.433,134.86,250.85
folklore,40,1045.597,1640.93,134.86,250.85
folklore,50,977.327,1474.544,134.86,250.85
folklore,60,870.379,1248.284,134.86,250.85
folklore,70,744.802,1009.014,134.86,250.85
folklore,80,622.145,801.106,134.86,250.85
folklore,90,488.821,602.286,134.86,250.85
