Variant,Fill_Level,Set_MOPS,Get_MOPS,Total_BW_GBs,MLC_Baseline_GBs
dramblast,10,1143.049,2520.552,157.32,160.59
dramblast,20,1140.965,2504.542,157.32,160.59
dramblast,30,1137.937,2502.631,157.32,160.59
dramblast,40,1131.929,2474.111,157.32,160.59
dramblast,50,1121.438,2412.78,157.32,160.59
dramblast,60,1103.696,2345.026,157.32,160.59
dramblast,70,1078.433,2235.349,157.32,160.59
dramblast,80,1033.835,2038.491,157.32,160.59
dramblast,90,952.641,1745.887,157.32,160.59
dramhit23,10,1100.702,2438.934,144.46,160.59
dramhit23,20,1089.43,2377.035,144.46,160.59
dramhit23,30,1078.672,2305.08,144.46,160.59
dramhit23,40,1063.727,2213.167,144.46,160.59
dramhit23,50,1043.637,2083.117,144.46,160.59
dramhit23,60,1014.22,1921.388,144.46,160.59
dramhit23,70,970.389,1748.134,144.46,160.59
dramhit23,80,897.919,1533.336,144.46,160.59
dramhit23,90,745.995,1157.46,144.46,160.59
folklore,10,926.25,1631.383,112.28,160.59
folklore,20,912.726,1587.629,112.28,160.59
folklore,30,897.141,1534.163,112.28,160.59
folklore,40,872.517,1454.745,112.28,160.59
folklore,50,831.872,1332.713,112.28,160.59
folklore,60,769.792,1162.141,112.28,160.59
folklore,70,694.13,978.058,112.28,160.59
folklore,80,607.457,801.949,112.28,160.59
folklore,90,487.51,610.356,112.28,160.59
