Variant,Fill_Level,Set_MOPS,Get_MOPS,Total_BW_GBs,MLC_Baseline_GBs
dramblast,10,716.83,1301.851,83.07,84.82
dramblast,20,715.96,1300.974,83.07,84.82
dramblast,30,714.223,1291.732,83.07,84.82
dramblast,40,710.571,1281.033,83.07,84.82
dramblast,50,703.347,1255.475,83.07,84.82
dramblast,60,691.097,1214.838,83.07,84.82
dramblast,70,671.244,1156.018,83.07,84.82
dramblast,80,638.821,1065.078,83.07,84.82
dramblast,90,580.565,921.647,83.07,84.82
dramhit23,10,715.258,1236.55,63.61,84.82
dramhit23,20,708.853,1164.915,63.61,84.82
dramhit23,30,700.337,1095.306,63.61,84.82
dramhit23,40,688.743,1015.366,63.61,84.82
dramhit23,50,671.188,931.342,63.61,84.82
dramhit23,60,645.654,847.345,63.61,84.82
dramhit23,70,610.262,771.917,63.61,84.82
dramhit23,80,556.775,688.147,63.61,84.82
dramhit23,90,449.563,547.001,63.61,84.82
folklore,10,513.48,737.224,45.16,84.82
folklore,20,504.103,707.493,45.16,84.82
folklore,30,492.207,674.045,45.16,84.82
folklore,40,474.366,630.918,45.16,84.82
folklore,50,447.207,575.951,45.16,84.82
folklore,60,410.198,510.829,45.16,84.82
folklore,70,366.418,441.518,45.16,84.82
folklore,80,315.085,368.504,45.16,84.82
folklore,90,241.201,275.814,45.16,84.82
