Variant,Fill_Level,Avg_BW_GBs,MLC_Baseline_GBs
dramhit23,10,213.303,250.85
dramhit23,20,207.367,250.85
dramhit23,30,199.33,250.85
dramhit23,40,187.991,250.85
dramhit23,50,176.838,250.85
dramhit23,60,170.441,250.85
dramhit23,70,170.434,250.85
dramhit23,80,175.045,250.85
dramhit23,90,185.712,250.85
folklore,10,121.659,250.85
folklore,20,120.739,250.85
folklore,30,119.093,250.85
folklore,40,117.406,250.85
folklore,50,119.976,250.85
folklore,60,127.865,250.85
folklore,70,134.845,250.85
folklore,80,136.038,250.85
folklore,90,130.631,250.85
dramblast_no_simd,10,216.566,250.85
dramblast_no_simd,20,213.391,250.85
dramblast_no_simd,30,210.571,250.85
dramblast_no_simd,40,202.981,250.85
dramblast_no_simd,50,195.223,250.85
dramblast_no_simd,60,188.425,250.85
dramblast_no_simd,70,187.414,250.85
dramblast_no_simd,80,189.888,250.85
dramblast_no_simd,90,196.664,250.85
