
START dramblast {

START Insert TEST {
#           time             counts unit events
     1.001923346        646,493,440      umc_cas_cmd.all                  #  41375.6 MB/s  umc_mem_bandwidth   
     1.001923346      1,001,923,346 ns   duration_time                                                         
     2.002950707      4,122,848,181      umc_cas_cmd.all                  # 263862.3 MB/s  umc_mem_bandwidth   
     2.002950707      1,001,027,361 ns   duration_time                                                         
     3.004926582      4,235,496,661      umc_cas_cmd.all                  # 271071.8 MB/s  umc_mem_bandwidth   
     3.004926582      1,001,975,875 ns   duration_time                                                         
     4.005944194      4,246,192,618      umc_cas_cmd.all                  # 271756.3 MB/s  umc_mem_bandwidth   
     4.005944194      1,001,017,612 ns   duration_time                                                         
     5.007928600      4,309,134,025      umc_cas_cmd.all                  # 275784.6 MB/s  umc_mem_bandwidth   
     5.007928600      1,001,984,406 ns   duration_time                                                         
     6.009934996      4,285,317,476      umc_cas_cmd.all                  # 274260.3 MB/s  umc_mem_bandwidth   
     6.009934996      1,002,006,396 ns   duration_time                                                         
     7.010948487      4,274,843,418      umc_cas_cmd.all                  # 273590.0 MB/s  umc_mem_bandwidth   
     7.010948487      1,001,013,491 ns   duration_time                                                         
     8.012928072      4,250,898,001      umc_cas_cmd.all                  # 272057.5 MB/s  umc_mem_bandwidth   
     8.012928072      1,001,979,585 ns   duration_time                                                         
     9.015925023      4,299,817,724      umc_cas_cmd.all                  # 275188.3 MB/s  umc_mem_bandwidth   
     9.015925023      1,002,996,951 ns   duration_time                                                         
    10.016948774      4,192,774,624      umc_cas_cmd.all                  # 268337.6 MB/s  umc_mem_bandwidth   
    10.016948774      1,001,023,751 ns   duration_time                                                         
    11.017947376      4,262,739,674      umc_cas_cmd.all                  # 272815.3 MB/s  umc_mem_bandwidth   
    11.017947376      1,000,998,602 ns   duration_time                                                         
    12.019930421      4,288,575,466      umc_cas_cmd.all                  # 274468.8 MB/s  umc_mem_bandwidth   
    12.019930421      1,001,983,045 ns   duration_time                                                         
    13.022932552      4,304,055,088      umc_cas_cmd.all                  # 275459.5 MB/s  umc_mem_bandwidth   
    13.022932552      1,003,002,131 ns   duration_time                                                         
    14.023943773      4,313,988,226      umc_cas_cmd.all                  # 276095.2 MB/s  umc_mem_bandwidth   
    14.023943773      1,001,011,221 ns   duration_time                                                         
    15.024932844      4,236,848,965      umc_cas_cmd.all                  # 271158.3 MB/s  umc_mem_bandwidth   
    15.024932844      1,000,989,071 ns   duration_time                                                         
    16.028929919      4,322,118,526      umc_cas_cmd.all                  # 276615.6 MB/s  umc_mem_bandwidth   
    16.028929919      1,003,997,075 ns   duration_time                                                         
    17.029943771      4,295,875,677      umc_cas_cmd.all                  # 274936.0 MB/s  umc_mem_bandwidth   
    17.029943771      1,001,013,852 ns   duration_time                                                         
    18.030955942      4,279,350,233      umc_cas_cmd.all                  # 273878.4 MB/s  umc_mem_bandwidth   
    18.030955942      1,001,012,171 ns   duration_time                                                         
    19.032473576      4,331,254,970      umc_cas_cmd.all                  # 277200.3 MB/s  umc_mem_bandwidth   
    19.032473576      1,001,517,634 ns   duration_time                                                         
    20.035960569      4,301,563,698      umc_cas_cmd.all                  # 275300.1 MB/s  umc_mem_bandwidth   
    20.035960569      1,003,486,993 ns   duration_time                                                         
    21.037533722      4,323,921,858      umc_cas_cmd.all                  # 276731.0 MB/s  umc_mem_bandwidth   
    21.037533722      1,001,573,153 ns   duration_time                                                         
    22.039975170      4,332,590,310      umc_cas_cmd.all                  # 277285.8 MB/s  umc_mem_bandwidth   
    22.039975170      1,002,441,448 ns   duration_time                                                         
    23.042957251      4,352,695,517      umc_cas_cmd.all                  # 278572.5 MB/s  umc_mem_bandwidth   
    23.042957251      1,002,982,081 ns   duration_time                                                         
    24.044512135      4,363,493,867      umc_cas_cmd.all                  # 279263.6 MB/s  umc_mem_bandwidth   
    24.044512135      1,001,554,884 ns   duration_time                                                         
    25.046952343      4,345,427,498      umc_cas_cmd.all                  # 278107.4 MB/s  umc_mem_bandwidth   
    25.046952343      1,002,440,208 ns   duration_time                                                         
    26.051956923      4,379,188,459      umc_cas_cmd.all                  # 280268.1 MB/s  umc_mem_bandwidth   
    26.051956923      1,005,004,580 ns   duration_time                                                         
#           time             counts unit events
    27.053493466      4,370,899,366      umc_cas_cmd.all                  # 279737.6 MB/s  umc_mem_bandwidth   
    27.053493466      1,001,536,543 ns   duration_time                                                         
    28.054945670      4,336,997,614      umc_cas_cmd.all                  # 277567.8 MB/s  umc_mem_bandwidth   
    28.054945670      1,001,452,204 ns   duration_time                                                         
    29.057952580      4,347,618,778      umc_cas_cmd.all                  # 278247.6 MB/s  umc_mem_bandwidth   
    29.057952580      1,003,006,910 ns   duration_time                                                         
    30.059523694      4,338,830,840      umc_cas_cmd.all                  # 277685.2 MB/s  umc_mem_bandwidth   
    30.059523694      1,001,571,114 ns   duration_time                                                         
    31.061938262      4,324,956,103      umc_cas_cmd.all                  # 276797.2 MB/s  umc_mem_bandwidth   
    31.061938262      1,002,414,568 ns   duration_time                                                         
    32.066942482      4,369,934,986      umc_cas_cmd.all                  # 279675.8 MB/s  umc_mem_bandwidth   
    32.066942482      1,005,004,220 ns   duration_time                                                         
    33.068497836      4,340,911,662      umc_cas_cmd.all                  # 277818.3 MB/s  umc_mem_bandwidth   
    33.068497836      1,001,555,354 ns   duration_time                                                         
    34.069951080      4,338,604,481      umc_cas_cmd.all                  # 277670.7 MB/s  umc_mem_bandwidth   
    34.069951080      1,001,453,244 ns   duration_time                                                         
    35.074949843      4,394,552,867      umc_cas_cmd.all                  # 281251.4 MB/s  umc_mem_bandwidth   
    35.074949843      1,004,998,763 ns   duration_time                                                         
    36.076515391      4,358,942,171      umc_cas_cmd.all                  # 278972.3 MB/s  umc_mem_bandwidth   
    36.076515391      1,001,565,548 ns   duration_time                                                         
    37.077949038      4,349,520,435      umc_cas_cmd.all                  # 278369.3 MB/s  umc_mem_bandwidth   
    37.077949038      1,001,433,647 ns   duration_time                                                         
    38.079523276      4,372,376,091      umc_cas_cmd.all                  # 279832.1 MB/s  umc_mem_bandwidth   
    38.079523276      1,001,574,238 ns   duration_time                                                         
    39.082935353      4,349,776,680      umc_cas_cmd.all                  # 278385.7 MB/s  umc_mem_bandwidth   
    39.082935353      1,003,412,077 ns   duration_time                                                         
    40.084515101      4,361,583,184      umc_cas_cmd.all                  # 279141.3 MB/s  umc_mem_bandwidth   
    40.084515101      1,001,579,748 ns   duration_time                                                         
    41.089949016      4,314,343,683      umc_cas_cmd.all                  # 276118.0 MB/s  umc_mem_bandwidth   
    41.089949016      1,005,433,915 ns   duration_time                                                         
    42.091488854      4,363,124,886      umc_cas_cmd.all                  # 279240.0 MB/s  umc_mem_bandwidth   
    42.091488854      1,001,539,838 ns   duration_time                                                         
    43.092951491      4,373,325,728      umc_cas_cmd.all                  # 279892.8 MB/s  umc_mem_bandwidth   
    43.092951491      1,001,462,637 ns   duration_time                                                         
    44.095912376      4,350,026,949      umc_cas_cmd.all                  # 278401.7 MB/s  umc_mem_bandwidth   
    44.095912376      1,002,960,885 ns   duration_time                                                         
    45.097492493      4,334,708,243      umc_cas_cmd.all                  # 277421.3 MB/s  umc_mem_bandwidth   
    45.097492493      1,001,580,117 ns   duration_time                                                         
    46.099488593      4,344,097,861      umc_cas_cmd.all                  # 278022.3 MB/s  umc_mem_bandwidth   
    46.099488593      1,001,996,100 ns   duration_time                                                         
    47.102944880      4,354,038,705      umc_cas_cmd.all                  # 278658.5 MB/s  umc_mem_bandwidth   
    47.102944880      1,003,456,287 ns   duration_time                                                         
    48.104518218      4,335,754,731      umc_cas_cmd.all                  # 277488.3 MB/s  umc_mem_bandwidth   
    48.104518218      1,001,573,338 ns   duration_time                                                         
    49.106954030      4,346,819,672      umc_cas_cmd.all                  # 278196.5 MB/s  umc_mem_bandwidth   
    49.106954030      1,002,435,812 ns   duration_time                                                         
    50.110949209      4,367,164,861      umc_cas_cmd.all                  # 279498.6 MB/s  umc_mem_bandwidth   
    50.110949209      1,003,995,179 ns   duration_time                                                         
    51.112480196      4,350,916,673      umc_cas_cmd.all                  # 278458.7 MB/s  umc_mem_bandwidth   
    51.112480196      1,001,530,987 ns   duration_time                                                         
    52.114959658      4,357,542,884      umc_cas_cmd.all                  # 278882.7 MB/s  umc_mem_bandwidth   
    52.114959658      1,002,479,462 ns   duration_time                                                         
#           time             counts unit events
    53.119941382      4,370,867,851      umc_cas_cmd.all                  # 279735.5 MB/s  umc_mem_bandwidth   
    53.119941382      1,004,981,724 ns   duration_time                                                         
    54.121503400      4,332,024,221      umc_cas_cmd.all                  # 277249.6 MB/s  umc_mem_bandwidth   
    54.121503400      1,001,562,018 ns   duration_time                                                         
